_num,_widgetName,_source,_resultNumber,_pageUrl,ranking,provincia,espectadores,salas,recaudacion
29,CineRecProv,CineRecProv,29,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,29,Álava,692.719,42,4.341.15628 €
81,CineRecProv,CineRecProv,29,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,29,Lérida,823.950,59,4.590.26674 €
133,CineRecProv,CineRecProv,29,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,29,Álava,812.254,42,4.933.93875 €
185,CineRecProv,CineRecProv,29,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,29,Álava,717.406,43,4.641.97874 €
237,CineRecProv,CineRecProv,29,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,29,Ciudad Real,892.778,47,4.832.03510 €
30,CineRecProv,CineRecProv,30,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,30,Badajoz,693.962,31,4.340.11376 €
82,CineRecProv,CineRecProv,30,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,30,Ciudad Real,891.297,47,4.307.12070 €
134,CineRecProv,CineRecProv,30,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,30,Ciudad Real,950.444,46,4.726.10290 €
186,CineRecProv,CineRecProv,30,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,30,Badajoz,750.570,37,4.478.15461 €
238,CineRecProv,CineRecProv,30,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,30,Álava,727.756,43,4.728.36018 €
31,CineRecProv,CineRecProv,31,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,31,Ciudad Real,714.563,47,4.334.94750 €
83,CineRecProv,CineRecProv,31,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,31,Badajoz,815.053,39,4.039.74250 €
135,CineRecProv,CineRecProv,31,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,31,Badajoz,825.450,34,4.434.18390 €
187,CineRecProv,CineRecProv,31,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,31,Ciudad Real,713.052,35,4.288.46580 €
239,CineRecProv,CineRecProv,31,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,31,Badajoz,768.359,35,4.629.13250 €
